Antibiotic_Name,Target_Mechanism,PubChem_CID,Molecular_Weight,LogP,Num_H_Donors,Num_H_Acceptors,TPSA,Canonical_SMILES,Cost_Per_Dose_INR,Bioavailability_Percent,Administration_Route,WHO_AWaRe_Category,ICMR_Estimated_Resistance_Rate_India,Clinical_Guideline_Status,EUCAST_Susceptible_Breakpoint_mg_L,EUCAST_Resistant_Breakpoint_mg_L,Drug_Class
Imipenem,High-affinity PBP2 Inhibition & Beta-lactamase Resistance,104838,284.34,0.52,3.0,5.0,101.69,CC(C1C2C(C(=O)N2C(=C1SCC=N)C(=O)O)C)O,850,5.0,IV (+ Cilastatin),Watch,31.8%,Watch group; co-formulated with renal dehydropeptidase inhibitor,2.0,4.0,Carbapenems
Isoniazid,InhA Mycolic Acid Biosynthesis Inhibition (katG activated),3767,137.14,-0.31,2.0,3.0,68.01,C1=CN=CC=C1C(=O)NN,10,90.0,Oral / IV,Access,12.0%,Essential bactericidal first-line Anti-TB agent,0.1,0.2,Anti-tubercular
Levofloxacin,DNA Topoisomerase IV & Gyrase Inhibition (L-isomer),28267,361.37,1.54,1.0,5.0,75.01,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,55,99.0,Oral / IV,Watch,57.6%,Watch category; reserved for MDR-TB & severe pneumonias,0.5,1.0,Fluoroquinolones
Linezolid,50S 23S rRNA Ribosomal Peptidyl Initiation Complex Blocker,441401,337.35,1.12,1.0,5.0,71.11,CC(=O)NCC1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCOCC3)F,450,100.0,Oral / IV,Reserve,2.1%,Reserve group; active against MRSA & VRE and XDR-TB,2.0,4.0,Oxazolidinones
Meropenem,Broad PBP2/3 Inhibition (Stable against dehydropeptidase),441130,383.47,-0.31,3.0,6.0,110.18,CC1C2C(C(=O)N2C(=C1SC3CC(NC3)C(=O)N(C)C)C(=O)O)C(C)O,1200,5.0,IV,Watch,48.0%,Critical watch antibiotic; threatened by NDM-1 and OXA-48,2.0,8.0,Carbapenems
Minocycline,30S Ribosomal Subunit Inhibition (Lipophilic derivative),54675783,473.48,-0.48,6.0,10.0,184.86,CN(C)C1=C(C=CC2=C1C(C3CC4C(C(=O)C(=C(C4(C(=O)C3=C2O)O)O)C(=O)N)N(C)C)O)O,120,95.0,Oral / IV,Watch,22.0%,Alternative for carbapenem-resistant Acinetobacter & MRSA,0.5,1.0,Tetracyclines
Nalidixic Acid,Topoisomerase II / DNA Gyrase subunit A Inhibition,4439,232.24,1.42,1.0,3.0,72.19,CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O,10,96.0,Oral,Access,82.0%,Historical quinolone marker; high screening utility,16.0,32.0,Quinolones
Piperacillin,PBP3 Cell Wall Synthesis Inhibition (Ureidopenicillin),43672,517.56,-0.24,3.0,7.0,156.43,CCN1CCN(C(=O)C1=O)C(=O)NC(C2=CC=CC=C2)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O,200,5.0,IV (+ Tazobactam),Watch,45.0%,Anti-pseudomonal backbone; protected when combined with BLI,8.0,16.0,Penicillins
Rifampicin,Bacterial DNA-dependent RNA Polymerase (rpoB) beta-subunit Inhibition,5281079,560.65,4.22,4.0,9.0,134.93,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(C=C1C)C)C)O)O)C=NN5CCN(CC5)C)C,95,90.0,Oral / IV,Watch,40.0%,Cornerstone of First-Line TB therapy; surrogate marker for MDR-TB,0.06,0.5,Rifamycins
Teicoplanin,D-Ala-D-Ala Terminus Peptidoglycan Cell Wall Blocker,16129704,2180.32,-8.12,28.0,29.0,901.57,CC[C@H](C)[C@@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC2=CC=C(C=C2)O)C(=O)N[C@@H](CC(C)C)C(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC3=CC=CC=C3)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CC(=O)N)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]5CCCN5C(=O)[C@@H](CC6=CC=CC=C6)N,3200,5.0,IV / IM,Watch,5.5%,Lipoglycopeptide alternative to Vancomycin with less nephrotoxicity,2.0,2.0,Glycopeptides
Vancomycin,Binds D-Ala-D-Ala Pentapeptide preventing Cell Wall Crosslinking,14969,1449.27,0.11,19.0,25.0,530.49,C[C@H]1[C@H]([C@@](C[C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)[C@H]([C@H](C(=O)N[C@H](C(=O)N[C@H]5C(=O)N[C@@H]7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)[C@H](NC(=O)[C@H]([C@@H](C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)CC(=O)N)NC(=O)[C@@H](CC(C)C)NC)O)Cl)CO)O)O)(C)N)O,2500,5.0,IV (Systemic) / Oral (C. diff only),Watch,6.0%,Gold-standard glycopeptide for MRSA bacteremia; AUC/MIC guided dosing,2.0,2.0,Glycopeptides
